n_tests,p_cascade_theoretical,p_cascade_simulated,mean_false_positives
1,0.050000000000000044,0.0474,0.0474
2,0.09750000000000003,0.0964,0.0998
3,0.1426250000000001,0.1433,0.1498
4,0.18549375000000012,0.1788,0.1915
5,0.22621906250000023,0.2205,0.2444
6,0.2649081093750002,0.2642,0.3012
7,0.3016627039062503,0.2969,0.3431
8,0.33657956871093775,0.3418,0.4038
9,0.3697505902753909,0.3724,0.4535
10,0.4012630607616213,0.408,0.5041
11,0.43119990772354033,0.436,0.5572
12,0.45963991233736334,0.4623,0.603
13,0.4866579167204952,0.4829,0.6502
14,0.5123250208844705,0.5151,0.6957
15,0.536708769840247,0.5367,0.7548
16,0.5598733313482347,0.5624,0.8079
17,0.5818796647808229,0.5755,0.8493
18,0.6027856815417818,0.6128,0.9213
19,0.6226463974646927,0.6194,0.9446
20,0.6415140775914581,0.6414,1.0025
21,0.6594383737118852,0.6687,1.0672
22,0.676466455026291,0.6749,1.0929
23,0.6926431322749764,0.695,1.163
24,0.7080109756612276,0.7042,1.1916
25,0.7226104268781662,0.7253,1.2534
26,0.7364799055342579,0.7412,1.3048
27,0.7496559102575451,0.7571,1.3521
28,0.7621731147446679,0.7602,1.3988
29,0.7740644590074345,0.7693,1.4399
30,0.7853612360570628,0.7897,1.5057
31,0.7960931742542097,0.7937,1.5564
32,0.8062885155414992,0.8074,1.5872
33,0.8159740897644242,0.813,1.6427
34,0.8251753852762029,0.8245,1.6929
35,0.8339166160123929,0.8281,1.7434
36,0.8422207852117732,0.8436,1.8154
37,0.8501097459511846,0.8503,1.8693
38,0.8576042586536253,0.8548,1.8841
39,0.8647240457209441,0.8662,1.9436
40,0.8714878434348969,0.8758,2.0299
41,0.877913451263152,0.8736,2.0501
42,0.8840177786999944,0.886,2.1296
43,0.8898168897649947,0.8944,2.1691
44,0.895326045276745,0.8953,2.2128
45,0.9005597430129078,0.8992,2.2519
46,0.9055317558622624,0.9058,2.2968
47,0.9102551680691493,0.911,2.3432
48,0.9147424096656918,0.9132,2.3813
49,0.9190052891824072,0.9188,2.4722
50,0.9230550247232868,0.9214,2.4945
